,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
870,2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
1669,2023,SE,FT,Data Science Engineer,140000,USD,140000,US,0,US,M
3147,2022,SE,FT,Data Scientist,148800,USD,148800,US,0,US,M
2800,2022,EN,FT,BI Data Analyst,633000,INR,8050,IN,100,IN,M
1132,2023,SE,FT,Data Science Manager,245100,USD,245100,US,0,US,M
1542,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M
3706,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,S
726,2023,MI,FT,Data Analyst,75000,USD,75000,US,100,US,M
700,2023,MI,FT,Data Scientist,100000,USD,100000,US,0,US,M
1496,2023,SE,FT,Data Analyst,141290,USD,141290,US,0,US,M
1825,2022,SE,FT,Data Engineer,106800,USD,106800,US,0,US,M
1156,2023,SE,FT,Data Analyst,95000,USD,95000,US,100,US,M
3300,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2317,2022,SE,FT,Data Engineer,231250,USD,231250,US,100,US,M
557,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
1673,2023,SE,FT,Cloud Database Engineer,140000,USD,140000,US,100,US,M
1379,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
2461,2022,SE,FT,Data Scientist,144000,USD,144000,US,0,US,L
3747,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
255,2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M
739,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M
3208,2022,MI,FT,Data Analyst,40000,EUR,42026,GR,100,GR,M
2514,2022,SE,FT,Data Engineer,97000,USD,97000,US,100,US,M
854,2023,SE,FT,Data Analyst,153600,USD,153600,US,0,US,M
2385,2022,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
2320,2022,SE,FT,Analytics Engineer,116250,USD,116250,US,100,US,M
107,2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M
1162,2023,SE,FT,Data Engineer,146000,USD,146000,US,100,US,M
3403,2022,MI,FT,Data Scientist,70000,GBP,86193,GB,0,GB,M
1563,2023,SE,FT,Data Analyst,48000,EUR,51508,ES,0,ES,M
3155,2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
126,2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M
2715,2022,SE,FT,Data Engineer,229998,USD,229998,US,0,US,L
3113,2022,MI,FT,Data Engineer,110000,GBP,135446,GB,0,GB,M
560,2023,MI,FT,Data Scientist,75000,EUR,80481,IE,0,IE,M
2053,2022,SE,FT,Data Scientist,110000,USD,110000,US,100,US,M
913,2023,MI,FT,Data Engineer,116000,USD,116000,US,0,US,M
2168,2022,SE,FT,Data Analyst,75000,GBP,92350,GB,0,GB,M
943,2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
1973,2022,SE,FT,Data Analyst,127000,USD,127000,US,100,US,M
1060,2023,SE,FT,Data Manager,140000,USD,140000,US,0,US,M
772,2023,SE,FT,Data Engineer,83300,GBP,101228,GB,0,GB,M
3743,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,M
3627,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
382,2023,SE,FT,Data Analyst,106000,USD,106000,US,0,US,M
75,2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M
845,2023,MI,FT,Research Scientist,340000,USD,340000,US,100,US,M
3740,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,M
2713,2022,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M
1020,2023,MI,FT,Data Engineer,140000,USD,140000,US,0,US,M
761,2023,SE,FT,Machine Learning Engineer,139500,USD,139500,US,0,US,M
893,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M
555,2023,SE,FT,Data Analyst,190000,USD,190000,US,100,US,M
705,2023,MI,FT,Data Engineer,70000,GBP,85066,GB,100,GB,M
188,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
3615,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
329,2023,SE,FT,Data Architect,159500,USD,159500,US,0,US,M
3482,2022,SE,FT,Research Scientist,144000,USD,144000,US,50,US,L
89,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M
2542,2022,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M
2155,2022,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M
1518,2023,MI,FT,Data Analyst,52500,USD,52500,US,0,US,M
2489,2022,SE,FT,Data Analyst,52500,USD,52500,US,0,US,M
2296,2022,SE,FT,Data Analyst,177000,USD,177000,US,0,US,M
297,2023,EX,FT,Analytics Engineer,153000,USD,153000,US,100,US,M
973,2023,SE,FT,Head of Data,70000,EUR,75116,PT,100,PT,L
2045,2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M
1613,2023,SE,FT,Data Scientist,104000,USD,104000,US,100,US,M
1730,2023,SE,FT,Data Engineer,226700,USD,226700,US,0,US,M
3457,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
1363,2023,SE,FT,Machine Learning Engineer,126000,USD,126000,US,0,US,M
481,2023,MI,FT,Machine Learning Scientist,220000,USD,220000,US,0,US,M
2298,2022,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M
1884,2022,SE,FT,Machine Learning Engineer,246000,USD,246000,US,100,US,M
3412,2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
83,2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L
2796,2022,SE,FT,Data Architect,190000,USD,190000,US,100,US,M
1720,2023,SE,FT,NLP Engineer,235000,USD,235000,US,0,US,M
301,2023,SE,FT,Research Scientist,136000,USD,136000,US,0,US,M
1951,2022,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
872,2023,SE,FT,Data Engineer,139500,USD,139500,US,0,US,M
1650,2023,EX,FT,Data Engineer,150900,USD,150900,US,0,US,M
1562,2023,MI,FT,Data Scientist,50000,EUR,53654,RO,50,RO,L
2873,2022,SE,FT,Data Scientist,151800,USD,151800,US,0,US,M
1038,2023,SE,FT,Data Engineer,124740,USD,124740,US,0,US,M
1607,2023,MI,FT,Data Analyst,135000,USD,135000,US,0,US,M
393,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M
397,2023,MI,FT,Data Engineer,125000,USD,125000,US,0,US,M
1064,2023,SE,FT,Data Analyst,165000,USD,165000,US,100,US,M
719,2023,SE,FT,Research Scientist,94192,USD,94192,US,0,US,M
2329,2022,SE,FT,Data Scientist,208000,USD,208000,US,100,US,M
587,2023,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M
3640,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
936,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M
551,2023,MI,FT,Data Engineer,149600,USD,149600,US,0,US,M
1856,2022,SE,FT,Data Scientist,198200,USD,198200,US,100,US,M
3357,2022,SE,FT,Data Analyst,60000,USD,60000,US,100,US,M
1221,2023,SE,FT,Data Analyst,52000,EUR,55800,ES,100,ES,M
2717,2022,SE,FT,Data Scientist,215000,USD,215000,US,0,US,L
2161,2022,SE,FT,Data Engineer,132000,USD,132000,CA,0,CA,M
2459,2022,SE,FT,Data Engineer,150000,USD,150000,US,0,US,M
2776,2022,MI,FT,Data Operations Engineer,100000,USD,100000,US,100,US,M
2578,2021,EN,FT,Power BI Developer,400000,INR,5409,IN,50,IN,L
1766,2023,MI,FT,Data Scientist,120000,USD,120000,US,0,US,M
748,2023,EN,FT,Research Scientist,100000,USD,100000,US,0,US,M
3469,2022,MI,FT,Data Scientist,115000,CHF,120402,CH,0,CH,L
2343,2022,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M
1813,2023,MI,FT,Data Analyst,100000,USD,100000,US,0,US,M
2740,2022,SE,FT,Data Scientist,141525,USD,141525,US,100,US,M
2969,2022,EN,PT,Data Scientist,110000,USD,110000,DO,100,FR,M
2404,2022,SE,FT,Data Engineer,179305,USD,179305,US,100,US,M
2869,2022,SE,FT,Applied Scientist,142800,USD,142800,US,100,US,M
3165,2022,MI,FT,Data Engineer,75000,GBP,92350,GB,0,GB,M
3425,2022,MI,PT,Data Engineer,50000,EUR,52533,DE,50,DE,L
2289,2022,SE,FT,Applied Scientist,205000,USD,205000,US,100,US,M
201,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M
2111,2022,SE,FT,Data Engineer,162000,USD,162000,US,100,US,M
1917,2022,EN,FT,Machine Learning Software Engineer,10000,USD,10000,MA,50,MA,S
3449,2022,SE,FT,Data Scientist,165000,USD,165000,US,100,US,M
3081,2022,SE,FT,Data Engineer,63000,USD,63000,US,0,US,M
1524,2023,MI,FT,Data Analyst,80000,USD,80000,US,0,US,M
2528,2022,SE,FT,Data Architect,128000,USD,128000,US,0,US,M
757,2023,SE,FT,Data Analyst,169000,USD,169000,US,0,US,M
2074,2022,MI,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
